id,ten,gia,hinh,link,noidung,idLoaiHang
1,Bàn Ủi Khô Philips HD1172 - Hàng chính hãng,295000,e2ee5ace29dd08794f790a8803c710b4.jpg,/ban-ui-kho-philips-hd1172-hang-chinh-hang-p392067.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>1630907572448</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>HD1172</td></tr><tr><td>Điện áp</td><td>220 - 240 V/50-60Hz</td></tr><tr><td>Công suất</td><td>1000W</td></tr><tr><td>Kích thước</td><td>24 x 11 x9.7 cm</td></tr></tbody></table></div>",1
2,Bàn Ủi Hơi Nước Đứng Philips GC514 1600W - Hồng - Hàng chính hãng,1330000,ae0a36a955a87fa17b28c05c23074a8e.jpg,/ban-ui-hoi-nuoc-dung-philips-gc514-1600w-hong-hang-chinh-hang-p885300.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>1636293145631</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hà Lan</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>GC514</td></tr><tr><td>Chất liệu</td><td>Nhựa</td></tr><tr><td>Điện áp</td><td>220V</td></tr><tr><td>Công suất</td><td>1600W</td></tr><tr><td>Dung tích bình chứa nước</td><td>1.6l</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước đứng</td></tr></tbody></table></div>",1
3,Bàn Ủi Khô Nagakawa NAG1502 - Tím - Hàng Chính Hãng,119000,6dfc313388c15a668f7cd9c13b19df14.jpg,/ban-ui-kho-nagakawa-nag1502-tim-hang-chinh-hang-p22095575.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Nagakawa</td></tr><tr><td>SKU</td><td>5774635258116</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Việt Nam</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>NAG1502</td></tr><tr><td>Chất liệu</td><td>Tay cầm bằng nhựa, đế bàn là chống dính teflon cao cấp</td></tr><tr><td>Công suất</td><td>1200W</td></tr><tr><td>Trọng lượng</td><td>0.68kg</td></tr><tr><td>Kích thước</td><td>250 x 100 x 120 mm</td></tr></tbody></table></div>",1
4,Bàn Ủi Hơi Nước Cầm Tay Lock&Lock ENI241- Hàng Chính Hãng,490000,22e2ed1f34d12becdf0e24d2b7ed4c6f.jpg,/ban-ui-hoi-nuoc-cam-tay-lock-lock-eni241-hang-chinh-hang-p16550144.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Lock&amp;Lock</td></tr><tr><td>SKU</td><td>5773541198400</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hàn Quốc</td></tr></tbody></table></div>",1
5,Bàn Ủi Hơi Nước Đứng Philips GC518 (1600W) - Xanh Ngọc - Hàng chính hãng,1623300,85cd87208256a8ac5141827c773a49c1.jpg,/ban-ui-hoi-nuoc-dung-philips-gc518-1600w-xanh-ngoc-hang-chinh-hang-p885374.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>1636197371501</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hà Lan</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>GC518</td></tr><tr><td>Chất liệu</td><td>Nhựa</td></tr><tr><td>Điện áp</td><td>220V</td></tr><tr><td>Công suất</td><td>1600W</td></tr><tr><td>Dung tích bình chứa nước</td><td>1.6L</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước đứng</td></tr><tr><td>Mặt đế</td><td>Silicon</td></tr><tr><td>Trọng lượng</td><td>3kg</td></tr><tr><td>Kích thước</td><td><p>Ngang 33cm - Sâu 29.5cm - Cao 161.1cm</p></td></tr></tbody></table></div>",1
6,Bàn Ủi Hơi Nước Philips GC1426/79 - Hàng chính hãng,499000,9ea039c3728978db9108a1a8339b9d03.jpg,/ban-ui-hoi-nuoc-philips-gc1426-79-hang-chinh-hang-p599242.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>1639778790715</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hà Lan</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>GC1426/79</td></tr><tr><td>Điện áp</td><td>220V - 50Hz</td></tr><tr><td>Công suất</td><td>1400W</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước</td></tr><tr><td>Mặt đế</td><td>Nhôm</td></tr><tr><td>Kích thước</td><td>11.4 x 27 x 14.5 cm</td></tr></tbody></table></div>",1
7,Bàn Ủi Hơi Nước Cầm Tay Gấp Gọn,304800,82ea3c3f2ab23dd54d6d6c14f4807eb9.jpg,/ban-ui-hoi-nuoc-cam-tay-gap-gon-p52087357.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>OEM</td></tr><tr><td>SKU</td><td>8918623245833</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Trung Quốc</td></tr><tr><td>Dung tích</td><td>120ml</td></tr><tr><td>Điện áp</td><td>220v</td></tr><tr><td>Công suất</td><td>1300w</td></tr><tr><td>Loại bàn ủi </td><td>hơi nước</td></tr></tbody></table></div>",1
8,Bản ủi hơi nước - Bàn là hơi nước cầm tay TLK - BL02 công suất 1500w dung tích 280ml (Hàng Chính Hãng),688000,f4c52053d220e94a047410420eaf9faf.png,/ban-ui-hoi-nuoc-ban-la-hoi-nuoc-cam-tay-tlk-bl02-cong-suat-1500w-dung-tich-280ml-hang-chinh-hang-p66878177.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>TiLoKi Tiện Lợi Và Tiết Kiệm</td></tr><tr><td>SKU</td><td>3370642695184</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Việt Nam</td></tr><tr><td>Xuất xứ</td><td>Việt Nam</td></tr><tr><td>Chất liệu</td><td><p>ABS + PP</p></td></tr><tr><td>Dung tích</td><td>280ml</td></tr><tr><td>Điện áp</td><td>220v</td></tr><tr><td>Công suất</td><td>1500w</td></tr><tr><td>Loại bàn ủi </td><td>hơi nước cầm tay</td></tr><tr><td>Trọng lượng</td><td>1200gr</td></tr></tbody></table></div>",1
9,Bàn Ủi Khô Nagakawa NAG1502 - Màu Ghi - Hàng Chính Hãng,119000,bc7cdf2f3c1e00d5a795d1333e91c33a.jpg,/ban-ui-kho-nagakawa-nag1502-mau-ghi-hang-chinh-hang-p22095571.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Nagakawa</td></tr><tr><td>SKU</td><td>3776700135751</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Việt Nam</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>NAG1502</td></tr><tr><td>Chất liệu</td><td>Tay cầm bằng nhựa, đế bàn là chống dính teflon cao cấp</td></tr><tr><td>Điện áp</td><td>220V - 50Hz</td></tr><tr><td>Công suất</td><td>1200W</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi khô</td></tr><tr><td>Mặt đế</td><td>Chất liệu hợp kim nhôm chống dính</td></tr><tr><td>Trọng lượng</td><td>0.68kg</td></tr><tr><td>Kích thước</td><td>250 x 100 x 120 mm</td></tr></tbody></table></div>",1
10,Bàn Ủi Hơi Nước Cầm Tay Xiaomi Zanjia GT-301W công suất định mức 1200W -  Hàng Nhập Khẩu,499000,82dcaf63fcfd75fc74d05e4154107e5d.jpg,/ban-ui-hoi-nuoc-cam-tay-xiaomi-zanjia-gt-301w-cong-suat-dinh-muc-1200w-hang-nhap-khau-p46633790.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Xiaomi</td></tr><tr><td>SKU</td><td>6179081499974</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Trung Quốc</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>GT – 301W</td></tr><tr><td>Chất liệu</td><td><p>Vật liệu vỏ: Men gốm + bột ion âm<br/>Vật liệu bảng: nhôm đúc</p></td></tr><tr><td>Điện áp</td><td>220V-50Hz</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước</td></tr></tbody></table></div>",1
11,Bàn Ủi Hơi Nước Đứng Philips GC487/89 - Hàng Chính Hãng,2313600,1a81d55341f571c1349a65dfe78702bd.jpg,/ban-ui-hoi-nuoc-dung-philips-gc487-89-hang-chinh-hang-p58065295.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>8752526865992</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hà Lan</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Chất liệu</td><td>Nhựa</td></tr><tr><td>Dung tích</td><td>Dung tích ngăn chứa nước: 1,4L</td></tr><tr><td>Công suất</td><td>1800W</td></tr><tr><td>Trọng lượng</td><td>4,8 Kg</td></tr><tr><td>Quy cách đóng gói</td><td>full box</td></tr></tbody></table></div>",1
12,Bàn Ủi Hơi Nước không dây Bluestone SIB-3854 (2400W) - Hàng chính hãng,399000,f4c52053d220e94a047410420eaf9faf.png,/ban-ui-hoi-nuoc-khong-day-bluestone-sib-3854-2400w-hang-chinh-hang-p8073003.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Bluestone</td></tr><tr><td>SKU</td><td>2972304477995</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Chất liệu</td><td><p>Chất liệu mặt đế: Ceramic</p></td></tr><tr><td>Dung tích</td><td>360ml</td></tr><tr><td>Công suất</td><td>2000W - 2400W</td></tr><tr><td>Dung tích bình chứa nước</td><td>360ml</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước</td></tr><tr><td>Mặt đế</td><td>Ceramic</td></tr></tbody></table></div>",1
13,Bàn Ủi Hơi Nước Đứng Bluestone GSB-3911 (1800W) - Hàng Chính Hãng,999000,f4c52053d220e94a047410420eaf9faf.png,/ban-ui-hoi-nuoc-dung-bluestone-gsb-3911-1800w-hang-chinh-hang-p41167735.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Bluestone</td></tr><tr><td>SKU</td><td>2609773836274</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Singapore</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>SIB-3911</td></tr><tr><td>Chất liệu</td><td><p>Nhựa</p></td></tr><tr><td>Công suất</td><td>1800W</td></tr><tr><td>Dung tích bình chứa nước</td><td>1.6L</td></tr><tr><td>Loại bàn ủi </td><td>Hơi Nước Đứng</td></tr><tr><td>Trọng lượng</td><td>5,2kg</td></tr><tr><td>Kích thước</td><td><ul>
<li>33 x 40.5 x 31.5 (cm)</li>
<li>Chiều dài dây điện: 1.5m</li>
</ul></td></tr><tr><td>Quy cách đóng gói</td><td>1 sản phẩm/Thùng</td></tr></tbody></table></div>",1
